2026-04-21 08:49:55,945 | app | INFO | app\core\bootstrap.py:10 | -----------------Bootstrapping FastAPI-----------------
2026-04-21 08:52:23,105 | app | INFO | app\core\bootstrap.py:10 | -----------------Bootstrapping FastAPI-----------------
2026-04-21 08:52:31,544 | app | INFO | app\core\bootstrap.py:10 | -----------------Bootstrapping FastAPI-----------------
2026-04-21 08:52:31,577 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\server.py:92 | Started server process [22464]
2026-04-21 08:52:31,577 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\lifespan\on.py:48 | Waiting for application startup.
2026-04-21 08:52:31,577 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\lifespan\on.py:62 | Application startup complete.
2026-04-21 08:52:53,374 | uvicorn.access | INFO | .venv\Lib\site-packages\uvicorn\protocols\http\h11_impl.py:482 | 127.0.0.1:51079 - "GET /docs HTTP/1.1" 200
2026-04-21 08:52:53,639 | uvicorn.access | INFO | .venv\Lib\site-packages\uvicorn\protocols\http\h11_impl.py:482 | 127.0.0.1:51079 - "GET /openapi.json HTTP/1.1" 200
2026-04-21 08:52:59,104 | app.services.user_service | INFO | app\services\user_service.py:14 | Listing all active users
2026-04-21 08:52:59,357 | uvicorn.access | INFO | .venv\Lib\site-packages\uvicorn\protocols\http\h11_impl.py:482 | 127.0.0.1:61600 - "GET /users/ HTTP/1.1" 200
2026-04-21 08:53:01,796 | app.services.user_service | INFO | app\services\user_service.py:14 | Listing all active users
2026-04-21 08:53:01,800 | uvicorn.access | INFO | .venv\Lib\site-packages\uvicorn\protocols\http\h11_impl.py:482 | 127.0.0.1:61600 - "GET /users/ HTTP/1.1" 200
2026-04-21 08:53:30,869 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\server.py:272 | Shutting down
2026-04-21 08:53:30,978 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\lifespan\on.py:67 | Waiting for application shutdown.
2026-04-21 08:53:30,979 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\lifespan\on.py:76 | Application shutdown complete.
2026-04-21 08:53:30,980 | uvicorn.error | INFO | .venv\Lib\site-packages\uvicorn\server.py:102 | Finished server process [22464]
2026-04-21 08:53:34,088 | app | INFO | app\core\bootstrap.py:10 | -----------------Bootstrapping FastAPI-----------------
